scenario_id,ok,diverged,rF_eff,psi,rF,phi2,phi1,e_star,omega_star,d_star,local_maxReEig,local_maxImEig,local_regime,a1,a2,a3,H,tail_amp_e,tail_amp_omega,tail_sd_e,tail_sd_omega
S01,TRUE,TRUE,0.038,0.2,0.047499999999999994,0.6,0.6592939577455569,0.9400000000000001,0.84,2.3939812967737173,0.01434176337934108,0.662435429150523,unstable_osc,0.0011347686034150328,0.4381710900977495,0.013091018388990803,-0.012593795593023737,0.17854233096312755,0.42935568552077397,0.05254608018829218,0.0565494491947299
S02,TRUE,TRUE,0.04,0.2,0.049999999999999996,0.6,0.6594008118740587,0.94,0.84,2.3939812967737173,0.01617863891571275,0.6620243834450293,unstable_osc,-0.002500938990008259,0.437571962782015,0.01309314009713741,-0.014187480879793395,0.1835407209617269,0.4286600540961707,0.0534390783973079,0.06438656298180144
S03,TRUE,TRUE,0.043,0.2,0.05374999999999999,0.6,0.6594960750427061,0.9399999999999998,0.84,2.3939812967737173,0.018013720075696044,0.6616480933081396,unstable_osc,-0.006137115694524922,0.437025821613787,0.013095031653821504,-0.015777109682560124,0.17711849109277877,0.41895615320697754,0.05186723289010919,0.06215797377476844
S04,TRUE,TRUE,0.038,0.2,0.047499999999999994,0.7,0.765630184745703,0.9399999999999998,0.84,2.3939812967737173,0.013426916055185853,0.7137739743604957,unstable_osc,0.002975141844874048,0.5088525462905116,0.015202443022450064,-0.013688534519110455,0.15570272451550093,0.42371142863164024,0.04665501263389035,0.05053328176497681
S05,TRUE,TRUE,0.04,0.2,0.049999999999999996,0.7,0.7657548478956216,0.94,0.84,2.3939812967737173,0.015566879438907638,0.7133310004431459,unstable_osc,-0.0012665170141197904,0.5081535644221546,0.015204918348621099,-0.015848503483747375,0.15640115760821072,0.42040637630230404,0.04660521076697408,0.051493910289861444
S06,TRUE,TRUE,0.043,0.2,0.05374999999999999,0.7,0.7658659882590435,0.94,0.84,2.3939812967737173,0.01770507561053246,0.7129247815250567,unstable_osc,-0.005508723169389231,0.5075163997258887,0.015207125164752535,-0.018002892514767544,0.16324684644652654,0.41839183230810983,0.048686815595978886,0.05891187766113189
S07,TRUE,TRUE,0.038,0.2,0.047499999999999994,0.8,0.871966411745849,0.94,0.84,2.3939812967737173,0.012510773674941994,0.7616587506855406,unstable_osc,0.004815515086333067,0.5795340024832739,0.017313867655909317,-0.014523112923908127,0.1660389913666226,0.43769325665569103,0.04685019387312489,0.06123002928640191
S08,TRUE,TRUE,0.04,0.2,0.049999999999999996,0.8,0.8721088839171847,0.94,0.84,2.3939812967737173,0.01495379774015923,0.7611866094312449,unstable_osc,-3.209503823132023e-5,0.5787351660622945,0.01731669660010478,-0.01733527112738536,0.14985519340444176,0.4230489846154981,0.044622037868995955,0.05188179734826103
S09,TRUE,TRUE,0.043,0.2,0.05374999999999999,0.8,0.8722359014753812,0.94,0.84,2.3939812967737173,0.017395084645849962,0.7607528884060752,unstable_osc,-0.004880330644253539,0.5780069778379906,0.017319218675683583,-0.020140083842218704,0.15222880769714575,0.4180127702398623,0.04510830420525195,0.0559622096872077
